Protein ID,Gene name,Protein name,Genename_ProteinID,Mol. weight [Da],Sequence coverage [%],Peptides per protein,Unique peptides per protein
C9J8T6,COX17,Cytochrome c oxidase copper chaperone,COX17__C9J8T6,10853.0,38.8,3.0,3.0
C9J9B2,RBMS3,"RNA-binding motif, single-stranded-interacting protein 3",RBMS3__C9J9B2,29080.0,34.5,7.0,5.0
C9JA08,NMD3,60S ribosomal export protein NMD3,NMD3__C9JA08,60125.0,30.1,15.0,15.0
C9JA28,SSR3,Translocon-associated protein subunit gamma,SSR3__C9JA28,20161.0,12.1,2.0,2.0
C9JA38,DALRD3,DALR anticodon-binding domain-containing protein 3,DALRD3__C9JA38,31809.0,10.9,3.0,3.0
C9JAX1,FXN,"Frataxin, mitochondrial",FXN__C9JAX1,14910.0,87.4,8.0,8.0
C9JBU3,WDR82,,WDR82__C9JBU3,8240.4,75.7,4.0,1.0
C9JWL4,AP4M1,AP-4 complex subunit mu-1,AP4M1__C9JWL4,34476.0,30.9,8.0,8.0
C9JCA5,TNNT3,"Troponin T, fast skeletal muscle",TNNT3__C9JCA5,25018.0,24.0,5.0,1.0
C9JCC6,DRAP1,Dr1-associated corepressor,DRAP1__C9JCC6,23205.0,39.2,7.0,7.0
C9JCE4,CLEC5A,C-type lectin domain family 5 member A,CLEC5A__C9JCE4,9748.9,22.6,2.0,2.0
C9JE12,TMUB1,Transmembrane and ubiquitin-like domain-containing protein 1,TMUB1__C9JE12,16120.0,40.8,4.0,4.0
C9JDQ1,MOGS,,MOGS__C9JDQ1,15925.0,80.7,8.0,1.0
C9JE79,CALD1,,CALD1__C9JE79,9031.7,62.5,5.0,1.0
C9JE82,CACNA2D2,Voltage-dependent calcium channel subunit alpha-2/delta-2,CACNA2D2__C9JE82,129210.0,9.2,10.0,8.0
C9JG97,AAMP,Angio-associated migratory cell protein,AAMP__C9JG97,44693.0,31.8,10.0,10.0
C9JEH7,RPS4Y1,"40S ribosomal protein S4, Y isoform 1",RPS4Y1__C9JEH7,29383.0,53.1,16.0,3.0
C9JEJ2,PCYT1A,Choline-phosphate cytidylyltransferase A,PCYT1A__C9JEJ2,43263.0,54.7,18.0,13.0
C9JEZ4,CDC42EP3,Cdc42 effector protein 3,CDC42EP3__C9JEZ4,23507.0,52.6,6.0,6.0
C9JF17,APOD,Apolipoprotein D,APOD__C9JF17,24158.0,30.7,7.0,7.0
C9JFE4,GPS1,COP9 signalosome complex subunit 1,GPS1__C9JFE4,53371.0,51.0,18.0,1.0
C9JFR7,CYCS,Cytochrome c,CYCS__C9JFR7,11333.0,57.4,6.0,4.0
C9JFW8,NAALADL1,N-acetylated-alpha-linked acidic dipeptidase-like protein,NAALADL1__C9JFW8,76902.0,10.1,6.0,6.0
F5GZZ9,CD163,Scavenger receptor cysteine-rich type 1 protein M130,CD163__F5GZZ9,120320.0,24.6,23.0,1.0
C9JI87,VDAC1,,VDAC1__C9JI87,20274.0,85.2,15.0,1.0
C9JI98,TMEM238,Transmembrane protein 238,TMEM238__C9JI98,18040.0,15.9,2.0,2.0
C9JIF9,APEH,Acylamino-acid-releasing enzyme,APEH__C9JIF9,81673.0,49.8,24.0,12.0
C9JIS1,GNB2,,GNB2__C9JIS1,25538.0,47.4,11.0,1.0
C9JJ19,MRPS34,"28S ribosomal protein S34, mitochondrial",MRPS34__C9JJ19,26332.0,64.4,13.0,13.0
C9JRT9,TMEM176A,Transmembrane protein 176A,TMEM176A__C9JRT9,12967.0,9.3,1.0,1.0
C9JJ79,PILRA,Paired immunoglobulin-like type 2 receptor alpha,PILRA__C9JJ79,25577.0,10.2,2.0,2.0
C9JJN9,VPS8,Vacuolar protein sorting-associated protein 8 homolog,VPS8__C9JJN9,161800.0,26.5,34.0,34.0
C9JJX6,ARVCF,Armadillo repeat protein deleted in velo-cardio-facial syndrome,ARVCF__C9JJX6,96827.0,36.4,24.0,24.0
C9JPX5,STARD3NL,MLN64 N-terminal domain homolog,STARD3NL__C9JPX5,23505.0,31.1,5.0,1.0
U3KQU8,OXNAD1,Oxidoreductase NAD-binding domain-containing protein 1,OXNAD1__U3KQU8,34725.0,31.2,10.0,10.0
C9JLU1,POLR2H,"DNA-directed RNA polymerases I, II, and III subunit RPABC3",POLR2H__C9JLU1,16925.0,73.0,8.0,8.0
C9JLV4,APAF1,Apoptotic protease-activating factor 1,APAF1__C9JLV4,132460.0,24.3,25.0,25.0
I3L2L5,FAM195B,Protein FAM195B,FAM195B__I3L2L5,10463.0,53.3,5.0,5.0
C9JME2,FARP1,"FERM, RhoGEF and pleckstrin domain-containing protein 1",FARP1__C9JME2,122090.0,49.6,40.0,39.0
C9JN61,DLG1,,DLG1__C9JN61,17699.0,59.7,4.0,1.0
C9JNE2,OARD1,O-acetyl-ADP-ribose deacetylase 1,OARD1__C9JNE2,14670.0,64.9,9.0,6.0
C9JXB8,RPL24,60S ribosomal protein L24,RPL24__C9JXB8,14369.0,53.7,9.0,9.0
C9JRY4,SEC22A,Vesicle-trafficking protein SEC22a,SEC22A__C9JRY4,24506.0,27.1,5.0,5.0
C9JP23,CCRL2,C-C chemokine receptor-like 2,CCRL2__C9JP23,24628.0,5.5,1.0,1.0
C9JPC3,FKBP10,Peptidyl-prolyl cis-trans isomerase,FKBP10__C9JPC3,8935.2,76.5,6.0,1.0
C9JQD1,GCK,Hexokinase,GCK__C9JQD1,50136.0,28.6,10.0,10.0
C9JQV0,C7orf50,Uncharacterized protein C7orf50,C7orf50__C9JQV0,21883.0,52.1,6.0,6.0
C9JQV3,STK11IP,Serine/threonine-protein kinase 11-interacting protein,STK11IP__C9JQV3,120260.0,23.9,20.0,20.0
C9JRJ5,LIMD1,LIM domain-containing protein 1,LIMD1__C9JRJ5,65534.0,40.0,20.0,19.0
C9JRL4,MDH1,,MDH1__C9JRL4,12973.0,59.7,6.0,1.0
C9JRZ6,CHCHD3,MICOS complex subunit MIC19,CHCHD3__C9JRZ6,26753.0,48.3,14.0,14.0
C9JT30,SIGLEC8,Sialic acid-binding Ig-like lectin 8,SIGLEC8__C9JT30,42584.0,5.1,1.0,1.0
C9JTK4,AP2M1,,AP2M1__C9JTK4,18324.0,82.5,12.0,1.0
C9JVC4,IQCB1,IQ calmodulin-binding motif-containing protein 1,IQCB1__C9JVC4,9761.4,25.3,2.0,2.0
C9JVE2,DCUN1D1,DCN1-like protein,DCUN1D1__C9JVE2,28305.0,43.0,11.0,1.0
E5RIL0,LEPROTL1,Leptin receptor overlapping transcript-like 1,LEPROTL1__E5RIL0,11698.0,12.3,1.0,1.0
C9JW74,MEST,Mesoderm-specific transcript homolog protein,MEST__C9JW74,34348.0,44.6,11.0,11.0
C9JWG0,UGP2,,UGP2__C9JWG0,16929.0,78.7,12.0,1.0
C9JXC6,SEC61A1,,SEC61A1__C9JXC6,10817.0,60.4,5.0,1.0
C9JXF9,IGFBP1,Insulin-like growth factor-binding protein 1,IGFBP1__C9JXF9,27671.0,16.0,4.0,4.0
C9JY04,TMEM243,Transmembrane protein 243,TMEM243__C9JY04,12918.0,16.0,1.0,1.0
K7EIG3,NOTUM,Palmitoleoyl-protein carboxylesterase NOTUM,NOTUM__K7EIG3,22415.0,8.6,1.0,1.0
C9JYM0,POP7,Ribonuclease P protein subunit p20,POP7__C9JYM0,15324.0,35.8,4.0,4.0
C9JYQ9,RPL22L1,60S ribosomal protein L22-like 1,RPL22L1__C9JYQ9,14478.0,35.5,3.0,3.0
J3KS67,TVP23B,Golgi apparatus membrane protein TVP23 homolog,TVP23B__J3KS67,23507.0,27.1,4.0,4.0
C9JYY6,NRCAM,Neuronal cell adhesion molecule,NRCAM__C9JYY6,133810.0,7.6,7.0,7.0
C9JZE5,KLC4,,KLC4__C9JZE5,18312.0,82.7,11.0,1.0
C9K0J5,RAPH1,Ras-associated and pleckstrin homology domains-containing protein 1,RAPH1__C9K0J5,141180.0,33.6,33.0,
CON__P02768-1,ALB,Serum albumin,ALB__CON__P02768-1,69366.0,82.9,66.0,60.0
D3DPN2,SDC3,Syndecan,SDC3__D3DPN2,39635.0,11.7,4.0,4.0
D3DSM0,ITGB2,Integrin beta,ITGB2__D3DSM0,78354.0,36.2,21.0,1.0
D3DTX6,PPP1R9B,Neurabin-2,PPP1R9B__D3DTX6,89333.0,44.6,26.0,25.0
D3DUE4,ANKS3,Ankyrin repeat and SAM domain-containing protein 3,ANKS3__D3DUE4,58028.0,9.5,5.0,5.0
D3DVS1,TMEM128,Transmembrane protein 128,TMEM128__D3DVS1,18822.0,16.4,2.0,2.0
Q5HY75,FAM3A,Protein FAM3A,FAM3A__Q5HY75,25830.0,11.8,3.0,3.0
D3DX19,CLDN5,Claudin,CLDN5__D3DX19,31626.0,12.5,3.0,3.0
D3YTB1,RPL32,60S ribosomal protein L32,RPL32__D3YTB1,15616.0,50.4,8.0,8.0
D3YTB5,IRAK1,Interleukin-1 receptor-associated kinase 1,IRAK1__D3YTB5,76059.0,15.5,8.0,8.0
D3YTC7,PEMT,Phosphatidylethanolamine N-methyltransferase,PEMT__D3YTC7,22861.0,6.2,1.0,1.0
D3YTC9,ANKRD54,Ankyrin repeat domain-containing protein 54,ANKRD54__D3YTC9,30750.0,18.0,4.0,4.0
D3YTG3,ABI3BP,,ABI3BP__D3YTG3,195320.0,24.9,36.0,6.0
D4PHA4,GPBP1,Vasculin,GPBP1__D4PHA4,55525.0,10.1,3.0,3.0
D4Q8H0,pk,Mitogen-activated protein kinase kinase kinase MLT,pk__D4Q8H0,51582.0,31.6,12.0,2.0
D6R927,RBPJ,Recombining binding protein suppressor of hairless,RBPJ__D6R927,43496.0,34.0,12.0,12.0
D6R934,C1QB,Complement C1q subcomponent subunit B,C1QB__D6R934,26459.0,48.2,11.0,11.0
D6R941,MRPS36,,MRPS36__D6R941,4465.1,65.8,3.0,2.0
D6R9B4,CD164,Sialomucin core protein 24,CD164__D6R9B4,17718.0,7.4,1.0,1.0
D6R9C7,RWDD4,RWD domain-containing protein 4,RWDD4__D6R9C7,5023.5,65.1,3.0,3.0
D6R9E3,MND1,Meiotic nuclear division protein 1 homolog,MND1__D6R9E3,18983.0,23.0,3.0,3.0
D6R9T3,HMCES,Embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein,HMCES__D6R9T3,32132.0,29.8,6.0,6.0
D6R9U7,POLR3G,DNA-directed RNA polymerase III subunit RPC7,POLR3G__D6R9U7,25579.0,26.4,4.0,4.0
D6R9W4,DBN1,,DBN1__D6R9W4,36471.0,79.8,27.0,1.0
D6RAM3,DOK3,Docking protein 3,DOK3__D6RAM3,47601.0,24.8,9.0,5.0
D6RAN8,MRPL27,"39S ribosomal protein L27, mitochondrial",MRPL27__D6RAN8,10474.0,76.3,7.0,7.0
D6RB81,AMACR,Alpha-methylacyl-CoA racemase,AMACR__D6RB81,40674.0,57.2,17.0,8.0
D6RBB0,PEX10,Peroxisome biogenesis factor 10,PEX10__D6RBB0,36869.0,25.9,6.0,6.0
D6RBE3,FAM173B,Protein FAM173B,FAM173B__D6RBE3,11603.0,12.8,1.0,1.0
D6RDH5,GNGT2,Guanine nucleotide-binding protein subunit gamma,GNGT2__D6RDH5,10011.0,15.9,1.0,1.0
D6RDX7,EMB,Embigin,EMB__D6RDX7,30874.0,13.9,4.0,4.0
D6REL0,CDC42SE2,CDC42 small effector protein 2,CDC42SE2__D6REL0,5870.5,33.3,1.0,1.0
D6RFG3,EPN3,Epsin-3,EPN3__D6RFG3,15749.0,26.5,4.0,1.0
D6RGI3,11-Sep,Septin-11,11-Sep__D6RGI3,49005.0,59.1,21.0,12.0
D6REX3,SEC31A,Protein transport protein Sec31A,SEC31A__D6REX3,136220.0,48.0,50.0,3.0
D6REX7,SPRY1,Protein sprouty homolog 1,SPRY1__D6REX7,7460.2,40.3,2.0,2.0
D6RF35,GC,,GC__D6RF35,53020.0,54.6,26.0,2.0
D6RF48,STX18,Syntaxin-18,STX18__D6RF48,35420.0,64.9,18.0,9.0
D6RFG8,DCK,Deoxycytidine kinase,DCK__D6RFG8,36764.0,28.4,9.0,9.0
D6RH08,UGT2B7,,UGT2B7__D6RH08,17328.0,69.9,7.0,1.0
D6RH31,NPNT,Nephronectin,NPNT__D6RH31,66915.0,24.6,12.0,12.0
D6RHD3,CENPK,Centromere protein K,CENPK__D6RHD3,28245.0,19.2,4.0,4.0
D6RIT3,C4orf33,UPF0462 protein C4orf33,C4orf33__D6RIT3,19275.0,11.5,2.0,2.0
D6RJ07,ZNF346,,ZNF346__D6RJ07,34645.0,48.7,10.0,1.0
D6RJ90,COMMD10,COMM domain-containing protein 10,COMMD10__D6RJ90,21529.0,54.8,9.0,9.0
D6RJC3,INPP4B,"Type II inositol 3,4-bisphosphate 4-phosphatase",INPP4B__D6RJC3,92125.0,12.0,7.0,7.0
E1CKY7,sm-M20,,sm-M20__E1CKY7,21367.0,53.2,10.0,1.0
E2QRD4,MMS22L,Protein MMS22-like,MMS22L__E2QRD4,137500.0,6.7,6.0,6.0
H7C608,GMNN,Geminin,GMNN__H7C608,11370.0,43.1,3.0,3.0
E3W994,CLASP2,CLIP-associating protein 2,CLASP2__E3W994,138860.0,42.3,43.0,1.0
E5RFJ1,NSMCE2,E3 SUMO-protein ligase NSE2,NSMCE2__E5RFJ1,21807.0,54.5,8.0,8.0
E5RFP2,CPEB4,Cytoplasmic polyadenylation element-binding protein 4,CPEB4__E5RFP2,38050.0,18.0,5.0,1.0
E5RG29,ASPH,,ASPH__E5RG29,22240.0,37.9,3.0,1.0
E5RGS2,REEP4,Receptor expression-enhancing protein,REEP4__E5RGS2,28214.0,32.3,7.0,7.0
E5RGS9,CHRAC1,Chromatin accessibility complex protein 1,CHRAC1__E5RGS9,6264.3,46.4,2.0,2.0
E5RGW4,NPM1,,NPM1__E5RGW4,6862.5,59.3,4.0,1.0
E5RGX5,STMN2,Stathmin,STMN2__E5RGX5,19574.0,30.4,7.0,3.0
E5RHG9,UQCRB,,UQCRB__E5RHG9,9239.7,39.5,6.0,2.0
E5RHW4,ERLIN2,Erlin-2,ERLIN2__E5RHW4,37725.0,62.1,19.0,16.0
E5RIH3,PSD3,,PSD3__E5RIH3,15389.0,41.5,5.0,4.0
E5RIH5,TTI2,TELO2-interacting protein 2,TTI2__E5RIH5,53305.0,18.4,8.0,8.0
E5RIL2,CNOT8,CCR4-NOT transcription complex subunit 8,CNOT8__E5RIL2,25929.0,24.4,5.0,4.0
E5RIW3,TBCA,Tubulin-specific chaperone A,TBCA__E5RIW3,10080.0,66.7,8.0,8.0
E5RK82,CETN3,Centrin-3,CETN3__E5RK82,18336.0,36.5,6.0,6.0
E5RK69,ANXA6,Annexin,ANXA6__E5RK69,51776.0,72.6,40.0,3.0
E7EM64,COPS6,COP9 signalosome complex subunit 6,COPS6__E7EM64,36064.0,48.5,12.0,12.0
E7EMA9,ATHL1,Acid trehalase-like protein 1,ATHL1__E7EMA9,83379.0,11.0,6.0,6.0
E7EMB8,PTPN18,Tyrosine-protein phosphatase non-receptor type 18,PTPN18__E7EMB8,28399.0,36.1,6.0,6.0
E7EMN6,PPP1R2,Protein phosphatase inhibitor 2,PPP1R2__E7EMN6,19245.0,58.2,8.0,8.0
J3KMY5,NPC2,Epididymal secretory protein E1,NPC2__J3KMY5,16230.0,51.4,6.0,6.0
E7EMT5,CYP1A1,Cytochrome P450,CYP1A1__E7EMT5,54799.0,31.9,13.0,12.0
E7EMZ9,TACC2,Transforming acidic coiled-coil-containing protein 2,TACC2__E7EMZ9,296740.0,21.7,41.0,39.0
E7EN32,MEN1,Menin,MEN1__E7EN32,61418.0,22.7,10.0,10.0
E7EN73,KIAA0319L,Dyslexia-associated protein KIAA0319-like protein,KIAA0319L__E7EN73,113230.0,22.7,19.0,19.0
Q5T8T7,MED22,Mediator of RNA polymerase II transcription subunit 22,MED22__Q5T8T7,15855.0,21.6,4.0,4.0
E7END6,PROC,Vitamin K-dependent protein C,PROC__E7END6,55389.0,19.8,9.0,9.0
E7ENE7,CYP2D6,Cytochrome P450 2D6,CYP2D6__E7ENE7,55231.0,65.4,26.0,1.0
E7ENL6,COL6A3,Collagen alpha-3(VI) chain,COL6A3__E7ENL6,278110.0,73.0,187.0,
G3V2F4,TDP1,Tyrosyl-DNA phosphodiesterase 1,TDP1__G3V2F4,64827.0,16.3,8.0,8.0
E7EPD9,ST7,Suppressor of tumorigenicity 7 protein,ST7__E7EPD9,65520.0,24.3,11.0,2.0
E7EPI0,IBTK,Inhibitor of Bruton tyrosine kinase,IBTK__E7EPI0,149010.0,11.4,12.0,12.0
E7EPN9,PRRC2C,Protein PRRC2C,PRRC2C__E7EPN9,308770.0,32.8,76.0,73.0
E7EPS7,TM2D3,TM2 domain-containing protein 3,TM2D3__E7EPS7,20330.0,20.2,4.0,4.0
E7EPS8,PTPRM,Protein-tyrosine-phosphatase,PTPRM__E7EPS8,157070.0,17.6,20.0,17.0
E7EPT4,NDUFV2,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",NDUFV2__E7EPT4,27907.0,49.6,11.0,11.0
E7EPV7,SNCA,Alpha-synuclein,SNCA__E7EPV7,11777.0,66.1,6.0,4.0
E7EQ12,CAST,,CAST__E7EQ12,46133.0,64.3,22.0,1.0
E7EQ69,NAA50,N-alpha-acetyltransferase 50,NAA50__E7EQ69,19311.0,63.1,10.0,5.0
E7EQB2,LTF,Lactotransferrin,LTF__E7EQB2,76625.0,72.3,45.0,43.0
E7EQH1,BBS1,Bardet-Biedl syndrome 1 protein,BBS1__E7EQH1,54112.0,13.3,4.0,4.0
E7EQH8,ELN,,ELN__E7EQH8,13717.0,64.2,6.0,1.0
E7EQR4,EZR,Ezrin,EZR__E7EQR4,69371.0,60.2,39.0,26.0
E7EQR8,YIPF3,Protein YIPF3,YIPF3__E7EQR8,38889.0,37.1,10.0,10.0
E7EQT4,ACIN1,Apoptotic chromatin condensation inducer in the nucleus,ACIN1__E7EQT4,147360.0,44.7,53.0,1.0
E9PES6,HMGB3,High mobility group protein B3,HMGB3__E9PES6,17522.0,44.4,6.0,6.0
E7ER45,MGAM,"Maltase-glucoamylase, intestinal",MGAM__E7ER45,312020.0,17.0,27.0,24.0
E7ERD7,ACSL6,Long-chain-fatty-acid--CoA ligase 6,ACSL6__E7ERD7,75246.0,20.4,12.0,10.0
E7ERH1,TNS1,Tensin-1,TNS1__E7ERH1,85658.0,64.1,34.0,3.0
E7ERI8,CLASP2,CLIP-associating protein 2,CLASP2__E7ERI8,165630.0,38.8,47.0,5.0
F5H6L3,ARHGAP44,Rho GTPase-activating protein 44,ARHGAP44__F5H6L3,66186.0,6.1,3.0,2.0
E7ERK9,EIF2B4,Translation initiation factor eIF-2B subunit delta,EIF2B4__E7ERK9,59714.0,46.0,18.0,1.0
E7ERS3,ZC3H18,Zinc finger CCCH domain-containing protein 18,ZC3H18__E7ERS3,108940.0,23.3,19.0,19.0
E7EX21,COL13A1,Collagen alpha-1(XIII) chain,COL13A1__E7EX21,57651.0,18.2,8.0,8.0
E7ESC7,MAEA,Macrophage erythroblast attacher,MAEA__E7ESC7,49392.0,32.9,13.0,13.0
E7ESG2,CLSPN,Claspin,CLSPN__E7ESG2,145310.0,12.2,10.0,10.0
E7ESK6,SDC2,Syndecan,SDC2__E7ESK6,18388.0,24.8,7.0,7.0
E7ESL0,MRPL22,"39S ribosomal protein L22, mitochondrial",MRPL22__E7ESL0,24325.0,37.7,7.0,7.0
E7ESP4,ITGA2,,ITGA2__E7ESP4,102830.0,42.8,30.0,1.0
E7ESP9,NEFM,Neurofilament medium polypeptide,NEFM__E7ESP9,98380.0,41.5,31.0,26.0
E7ESX1,CHRD,Chordin,CHRD__E7ESX1,101960.0,7.3,7.0,7.0
E7ESZ3,PLEKHG2,Pleckstrin homology domain-containing family G member 2,PLEKHG2__E7ESZ3,133430.0,3.8,4.0,4.0
E7ET07,ING3,Inhibitor of growth protein,ING3__E7ET07,44860.0,20.8,6.0,4.0
E7ET40,PLAU,Urokinase-type plasminogen activator,PLAU__E7ET40,46924.0,30.0,11.0,11.0
E7ET49,DAGLB,Sn1-specific diacylglycerol lipase beta,DAGLB__E7ET49,68951.0,24.6,13.0,13.0
Q75MM6,DTX2,Probable E3 ubiquitin-protein ligase DTX2,DTX2__Q75MM6,23294.0,12.3,2.0,2.0
E7ETA6,PCM1,,PCM1__E7ETA6,227730.0,31.9,52.0,1.0
E7ETB3,DNPEP,Aspartyl aminopeptidase,DNPEP__E7ETB3,54502.0,59.4,20.0,9.0
E7ETC6,PDPN,Podoplanin,PDPN__E7ETC6,16078.0,28.0,2.0,2.0
G3XAM2,CFI,Complement factor I,CFI__G3XAM2,65059.0,34.9,18.0,17.0
F2Z2A3,SYS1-DBNDD2,Protein SYS1 homolog,SYS1-DBNDD2__F2Z2A3,8717.1,28.2,1.0,1.0
H0Y9G6,MRPL3,"39S ribosomal protein L3, mitochondrial",MRPL3__H0Y9G6,40470.0,43.5,14.0,14.0
E7ETY2,TCOF1,Treacle protein,TCOF1__E7ETY2,152300.0,32.9,46.0,
E7ETZ4,BZW2,Basic leucine zipper and W2 domain-containing protein 2,BZW2__E7ETZ4,46913.0,52.7,23.0,22.0
E7EU05,CD36,Platelet glycoprotein 4,CD36__E7EU05,52062.0,24.6,11.0,11.0
E7EU09,FGFR1,Fibroblast growth factor receptor,FGFR1__E7EU09,82042.0,15.4,8.0,7.0
E7EU96,CSNK2A1,Casein kinase II subunit alpha,CSNK2A1__E7EU96,45310.0,54.3,18.0,18.0
E7EUF1,ENPP2,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,ENPP2__E7EUF1,101550.0,3.6,3.0,3.0
E7EUI6,ITGB1,Integrin beta,ITGB1__E7EUI6,17063.0,47.4,9.0,3.0
E7EUN2,AGAP1,,AGAP1__E7EUN2,116620.0,12.3,10.0,2.0
E7EV01,CAPN5,Calpain-5,CAPN5__E7EV01,77469.0,46.2,24.0,24.0
E7EVA0,MAP4,Microtubule-associated protein,MAP4__E7EVA0,245440.0,42.3,78.0,15.0
E7EVB6,DTNB,Dystrobrevin,DTNB__E7EVB6,70512.0,40.6,18.0,10.0
E7EVH9,HDHD1,Pseudouridine-5-phosphatase,HDHD1__E7EVH9,21466.0,55.0,7.0,7.0
E7EVJ5,CYFIP2,Cytoplasmic FMR1-interacting protein 2,CYFIP2__E7EVJ5,142580.0,38.9,41.0,19.0
E7EVL8,CYP4A11,,CYP4A11__E7EVL8,59404.0,59.6,26.0,
E7EVM7,PIEZO2,Piezo-type mechanosensitive ion channel component,PIEZO2__E7EVM7,312610.0,4.2,9.0,8.0
E7EVQ3,ANGPT2,Angiopoietin-2,ANGPT2__E7EVQ3,52623.0,24.4,10.0,10.0
E7EVS6,ACTB,,ACTB__E7EVS6,17878.0,98.8,17.0,1.0
E7EVX2,GOLGA4,,GOLGA4__E7EVX2,51022.0,54.6,17.0,1.0
E7EVX8,PRPF31,U4/U6 small nuclear ribonucleoprotein Prp31,PRPF31__E7EVX8,54766.0,58.4,22.0,9.0
E7EVZ1,ZFHX4,Zinc finger homeobox protein 4,ZFHX4__E7EVZ1,396210.0,6.4,17.0,15.0
E7EW39,SLC36A1,Proton-coupled amino acid transporter 1,SLC36A1__E7EW39,43719.0,17.3,3.0,3.0
E7EWD9,ESRRB,Steroid hormone receptor ERR2,ESRRB__E7EWD9,56190.0,5.3,3.0,2.0
E7EWM1,NCOA2,,NCOA2__E7EWM1,102730.0,17.3,12.0,1.0
E7EWM2,CEP170,Cep170-like protein,CEP170__E7EWM2,32716.0,61.8,12.0,
E7EWQ5,MAST4,Microtubule-associated serine/threonine-protein kinase 4,MAST4__E7EWQ5,266190.0,11.7,22.0,18.0
E7EX17,EIF4B,Eukaryotic translation initiation factor 4B,EIF4B__E7EX17,69697.0,47.2,24.0,24.0
E7EX44,CALD1,Caldesmon,CALD1__E7EX44,64168.0,64.5,50.0,
E7EX90,DCTN1,Dynactin subunit 1,DCTN1__E7EX90,139090.0,64.6,65.0,65.0
E7EXA6,CHTF18,Chromosome transmission fidelity protein 18 homolog,CHTF18__E7EXA6,107430.0,21.8,15.0,14.0
E9PAM4,E9PAM4,,E9PAM4__E9PAM4,51218.0,62.4,26.0,
E9PAV3,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",NACA__E9PAV3,205420.0,5.8,9.0,7.0
E9PB61,ALYREF,THO complex subunit 4,ALYREF__E9PB61,27557.0,53.0,11.0,11.0
E9PBP8,UGT2B7,,UGT2B7__E9PBP8,42660.0,60.7,18.0,
E9PC47,LIMK1,LIM domain kinase 1,LIMK1__E9PC47,75526.0,16.8,10.0,10.0
E9PC69,MARK2,Serine/threonine-protein kinase MARK2,MARK2__E9PC69,86690.0,48.6,31.0,25.0
E9PC84,TNC,,TNC__E9PC84,210850.0,47.2,63.0,1.0
E9PC87,TMCC1,Transmembrane and coiled-coil domains protein 1,TMCC1__E9PC87,59372.0,34.7,14.0,14.0
E9PCD7,MAN2B2,Alpha-mannosidase,MAN2B2__E9PCD7,108150.0,21.7,15.0,15.0
E9PCH4,RAPGEF6,Rap guanine nucleotide exchange factor 6,RAPGEF6__E9PCH4,185190.0,14.9,18.0,14.0
E9PCX7,NNT,,NNT__E9PCX7,99728.0,50.8,43.0,1.0
F2Z2L2,MIB2,E3 ubiquitin-protein ligase MIB2,MIB2__F2Z2L2,99495.0,17.7,12.0,12.0
E9PD35,FLT4,Receptor protein-tyrosine kinase,FLT4__E9PD35,146450.0,14.7,16.0,15.0
E9PD50,SMG7,Protein SMG7,SMG7__E9PD50,130860.0,9.9,10.0,10.0
E9PD55,RCAN1,Calcipressin-1,RCAN1__E9PD55,27836.0,12.0,3.0,3.0
E9PDF6,MYO1B,Unconventional myosin-Ib,MYO1B__E9PDF6,128480.0,62.3,58.0,1.0
E9PDL4,ICA1,Islet cell autoantigen 1,ICA1__E9PDL4,53242.0,19.1,7.0,3.0
E9PDR0,PCCB,"Propionyl-CoA carboxylase beta chain, mitochondrial",PCCB__E9PDR0,59403.0,70.4,27.0,1.0
E9PE63,SLC9B2,Mitochondrial sodium/hydrogen exchanger 9B2,SLC9B2__E9PE63,51550.0,11.7,4.0,4.0
E9PEI0,CDCA2,Cell division cycle-associated protein 2,CDCA2__E9PEI0,111010.0,18.3,12.0,12.0
E9PEJ6,ATP11A,Phospholipid-transporting ATPase,ATP11A__E9PEJ6,135850.0,28.8,31.0,27.0
E9PEP7,ZFX,Zinc finger X-chromosomal protein,ZFX__E9PEP7,85197.0,10.6,8.0,8.0
E9PER6,PDPK1,3-phosphoinositide-dependent protein kinase 1,PDPK1__E9PER6,60328.0,44.4,19.0,19.0
E9PF19,TBL2,Transducin beta-like protein 2,TBL2__E9PF19,45935.0,61.3,24.0,24.0
H0YAY3,DENND3,DENN domain-containing protein 3,DENND3__H0YAY3,135890.0,22.4,24.0,24.0
E9PFI4,LDB2,LIM domain-binding protein 2,LDB2__E9PFI4,36099.0,14.7,3.0,2.0
E9PFK9,RABGEF1,Rab5 GDP/GTP exchange factor,RABGEF1__E9PFK9,58394.0,45.4,20.0,20.0
E9PG19,FCHSD2,F-BAR and double SH3 domains protein 2,FCHSD2__E9PG19,86813.0,28.8,18.0,18.0
E9PGC0,RASA1,Ras GTPase-activating protein 1,RASA1__E9PGC0,101790.0,54.8,39.0,39.0
E9PGC8,MAP1A,Microtubule-associated protein 1A,MAP1A__E9PGC8,331250.0,47.9,102.0,100.0
E9PGF5,TNS1,,TNS1__E9PGF5,183220.0,75.8,94.0,
E9PGP6,PRKAG2,5-AMP-activated protein kinase subunit gamma-2,PRKAG2__E9PGP6,50250.0,39.6,14.0,11.0
E9PGQ0,SLC25A44,Solute carrier family 25 member 44,SLC25A44__E9PGQ0,36316.0,20.8,6.0,6.0
