Protein ID,Gene names,Protein names,ProteinID_Genename,Genename_ProteinID
O43286,B4GALT5,"Beta-1,4-galactosyltransferase 5",O43286_B4GALT5,B4GALT5__O43286
O43290,SART1,U4/U6.U5 tri-snRNP-associated protein 1,O43290_SART1,SART1__O43290
O43292,GPAA1,Glycosylphosphatidylinositol anchor attachment 1 protein,O43292_GPAA1,GPAA1__O43292
O43293,DAPK3,Death-associated protein kinase 3,O43293_DAPK3,DAPK3__O43293
O43294,TGFB1I1,Transforming growth factor beta-1-induced transcript 1 protein,O43294_TGFB1I1,TGFB1I1__O43294
O43299,AP5Z1,AP-5 complex subunit zeta-1,O43299_AP5Z1,AP5Z1__O43299
O43301,HSPA12A,Heat shock 70 kDa protein 12A,O43301_HSPA12A,HSPA12A__O43301
O43303-2,CCP110,Centriolar coiled-coil protein of 110 kDa,O43303-2_CCP110,CCP110__O43303-2
O43306-2,ADCY6,Adenylate cyclase type 6,O43306-2_ADCY6,ADCY6__O43306-2
O43310,CTIF,CBP80/20-dependent translation initiation factor,O43310_CTIF,CTIF__O43310
O43310-2,CTIF,CBP80/20-dependent translation initiation factor,O43310-2_CTIF,CTIF__O43310-2
O43312-4,MTSS1,Metastasis suppressor protein 1,O43312-4_MTSS1,MTSS1__O43312-4
O43314,PPIP5K2,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2,O43314_PPIP5K2,PPIP5K2__O43314
O43318-2,MAP3K7,Mitogen-activated protein kinase kinase kinase 7,O43318-2_MAP3K7,MAP3K7__O43318-2
O43324,EEF1E1,Eukaryotic translation elongation factor 1 epsilon-1,O43324_EEF1E1,EEF1E1__O43324
O43325,LYRM1,LYR motif-containing protein 1,O43325_LYRM1,LYRM1__O43325
O43353-2,RIPK2,Receptor-interacting serine/threonine-protein kinase 2,O43353-2_RIPK2,RIPK2__O43353-2
O43374,RASA4,Ras GTPase-activating protein 4,O43374_RASA4,RASA4__O43374
O43379,WDR62,WD repeat-containing protein 62,O43379_WDR62,WDR62__O43379
O43390,HNRNPR,Heterogeneous nuclear ribonucleoprotein R,O43390_HNRNPR,HNRNPR__O43390
O43390-2,HNRNPR,Heterogeneous nuclear ribonucleoprotein R,O43390-2_HNRNPR,HNRNPR__O43390-2
O43395,PRPF3,U4/U6 small nuclear ribonucleoprotein Prp3,O43395_PRPF3,PRPF3__O43395
O43396,TXNL1,Thioredoxin-like protein 1,O43396_TXNL1,TXNL1__O43396
O43399,TPD52L2,Tumor protein D54,O43399_TPD52L2,TPD52L2__O43399
O43399-2,TPD52L2,Tumor protein D54,O43399-2_TPD52L2,TPD52L2__O43399-2
O43402,EMC8,ER membrane protein complex subunit 8,O43402_EMC8,EMC8__O43402
O43414,ERI3,ERI1 exoribonuclease 3,O43414_ERI3,ERI3__O43414
O43422,PRKRIR,52 kDa repressor of the inhibitor of the protein kinase,O43422_PRKRIR,PRKRIR__O43422
O43427-2,FIBP,Acidic fibroblast growth factor intracellular-binding protein,O43427-2_FIBP,FIBP__O43427-2
O43447,PPIH,Peptidyl-prolyl cis-trans isomerase H,O43447_PPIH,PPIH__O43447
O43462,MBTPS2,Membrane-bound transcription factor site-2 protease,O43462_MBTPS2,MBTPS2__O43462
O43464,HTRA2,"Serine protease HTRA2, mitochondrial",O43464_HTRA2,HTRA2__O43464
O43474-4,KLF4,Krueppel-like factor 4,O43474-4_KLF4,KLF4__O43474-4
O43482,OIP5,Protein Mis18-beta,O43482_OIP5,OIP5__O43482
O43488,AKR7A2,Aflatoxin B1 aldehyde reductase member 2,O43488_AKR7A2,AKR7A2__O43488
O43491,EPB41L2,Band 4.1-like protein 2,O43491_EPB41L2,EPB41L2__O43491
O43504,LAMTOR5,Ragulator complex protein LAMTOR5,O43504_LAMTOR5,LAMTOR5__O43504
O43505,B4GAT1,"Beta-1,4-glucuronyltransferase 1",O43505_B4GAT1,B4GAT1__O43505
O43513,MED7,Mediator of RNA polymerase II transcription subunit 7,O43513_MED7,MED7__O43513
O43516,WIPF1,WAS/WASL-interacting protein family member 1,O43516_WIPF1,WIPF1__O43516
O43520,ATP8B1,Phospholipid-transporting ATPase IC,O43520_ATP8B1,ATP8B1__O43520
O43521-3,BCL2L11,Bcl-2-like protein 11,O43521-3_BCL2L11,BCL2L11__O43521-3
O43524,FOXO3,Forkhead box protein O3,O43524_FOXO3,FOXO3__O43524
O43556-4,SGCE,Epsilon-sarcoglycan,O43556-4_SGCE,SGCE__O43556-4
O43566,RGS14,Regulator of G-protein signaling 14,O43566_RGS14,RGS14__O43566
O43570-2,CA12,Carbonic anhydrase 12,O43570-2_CA12,CA12__O43570-2
O43572,AKAP10,"A-kinase anchor protein 10, mitochondrial",O43572_AKAP10,AKAP10__O43572
O43583,DENR,Density-regulated protein,O43583_DENR,DENR__O43583
O43586,PSTPIP1,Proline-serine-threonine phosphatase-interacting protein 1,O43586_PSTPIP1,PSTPIP1__O43586
O43592,XPOT,Exportin-T,O43592_XPOT,XPOT__O43592
O43615,TIMM44,Mitochondrial import inner membrane translocase subunit TIM44,O43615_TIMM44,TIMM44__O43615
O43617,TRAPPC3,Trafficking protein particle complex subunit 3,O43617_TRAPPC3,TRAPPC3__O43617
O43633,CHMP2A,Charged multivesicular body protein 2a,O43633_CHMP2A,CHMP2A__O43633
O43639,NCK2,Cytoplasmic protein NCK2,O43639_NCK2,NCK2__O43639
O43657,TSPAN6,Tetraspanin-6,O43657_TSPAN6,TSPAN6__O43657
O43660,PLRG1,Pleiotropic regulator 1,O43660_PLRG1,PLRG1__O43660
O43663,PRC1,Protein regulator of cytokinesis 1,O43663_PRC1,PRC1__O43663
O43665-3,RGS10,Regulator of G-protein signaling 10,O43665-3_RGS10,RGS10__O43665-3
O43670-2,ZNF207,BUB3-interacting and GLEBS motif-containing protein ZNF207,O43670-2_ZNF207,ZNF207__O43670-2
O43676,NDUFB3,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,O43676_NDUFB3,NDUFB3__O43676
O43677,NDUFC1,"NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial",O43677_NDUFC1,NDUFC1__O43677
O43678,NDUFA2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,O43678_NDUFA2,NDUFA2__O43678
O43681,ASNA1,ATPase ASNA1,O43681_ASNA1,ASNA1__O43681
O43683-2,BUB1,Mitotic checkpoint serine/threonine-protein kinase BUB1,O43683-2_BUB1,BUB1__O43683-2
O43687,AKAP7,A-kinase anchor protein 7 isoforms alpha and beta,O43687_AKAP7,AKAP7__O43687
O43704,SULT1B1,Sulfotransferase family cytosolic 1B member 1,O43704_SULT1B1,SULT1B1__O43704
O43707,ACTN4,Alpha-actinin-4,O43707_ACTN4,ACTN4__O43707
O43709,WBSCR22,Probable 18S rRNA (guanine-N(7))-methyltransferase,O43709_WBSCR22,WBSCR22__O43709
O43715,TRIAP1,TP53-regulated inhibitor of apoptosis 1,O43715_TRIAP1,TRIAP1__O43715
O43719,HTATSF1,HIV Tat-specific factor 1,O43719_HTATSF1,HTATSF1__O43719
O43731-2,KDELR3,ER lumen protein-retaining receptor 3,O43731-2_KDELR3,KDELR3__O43731-2
O43739-2,CYTH3,Cytohesin-3,O43739-2_CYTH3,CYTH3__O43739-2
O43741,PRKAB2,5-AMP-activated protein kinase subunit beta-2,O43741_PRKAB2,PRKAB2__O43741
O43747,AP1G1,AP-1 complex subunit gamma-1,O43747_AP1G1,AP1G1__O43747
O43752,STX6,Syntaxin-6,O43752_STX6,STX6__O43752
O43760,SYNGR2,Synaptogyrin-2,O43760_SYNGR2,SYNGR2__O43760
O43761,SYNGR3,Synaptogyrin-3,O43761_SYNGR3,SYNGR3__O43761
O43765,SGTA,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,O43765_SGTA,SGTA__O43765
O43766,LIAS,"Lipoyl synthase, mitochondrial",O43766_LIAS,LIAS__O43766
O43772,SLC25A20,Mitochondrial carnitine/acylcarnitine carrier protein,O43772_SLC25A20,SLC25A20__O43772
O43776,NARS,"Asparagine--tRNA ligase, cytoplasmic",O43776_NARS,NARS__O43776
O43795-2,MYO1B,Unconventional myosin-Ib,O43795-2_MYO1B,MYO1B__O43795-2
O43805,SSNA1,Sjoegren syndrome nuclear autoantigen 1,O43805_SSNA1,SSNA1__O43805
O43808,SLC25A17,Peroxisomal membrane protein PMP34,O43808_SLC25A17,SLC25A17__O43808
O43809,NUDT21,Cleavage and polyadenylation specificity factor subunit 5,O43809_NUDT21,NUDT21__O43809
O43813,LANCL1,LanC-like protein 1,O43813_LANCL1,LANCL1__O43813
O43815,STRN,Striatin,O43815_STRN,STRN__O43815
O43818,RRP9,U3 small nucleolar RNA-interacting protein 2,O43818_RRP9,RRP9__O43818
O43819,SCO2,"Protein SCO2 homolog, mitochondrial",O43819_SCO2,SCO2__O43819
O43822-2,C21orf2,Protein C21orf2,O43822-2_C21orf2,C21orf2__O43822-2
O43823,AKAP8,A-kinase anchor protein 8,O43823_AKAP8,AKAP8__O43823
O43824,GTPBP6,Putative GTP-binding protein 6,O43824_GTPBP6,GTPBP6__O43824
U3KPU7,SLC37A4,Glucose-6-phosphate translocase,U3KPU7_SLC37A4,SLC37A4__U3KPU7
O43829,ZBTB14,Zinc finger and BTB domain-containing protein 14,O43829_ZBTB14,ZBTB14__O43829
O43852,CALU,Calumenin,O43852_CALU,CALU__O43852
O43852-2,CALU,Calumenin,O43852-2_CALU,CALU__O43852-2
O43854-2,EDIL3,EGF-like repeat and discoidin I-like domain-containing protein 3,O43854-2_EDIL3,EDIL3__O43854-2
O43861-2,ATP9B,Probable phospholipid-transporting ATPase IIB,O43861-2_ATP9B,ATP9B__O43861-2
O43865,AHCYL1,Putative adenosylhomocysteinase 2,O43865_AHCYL1,AHCYL1__O43865
O43866,CD5L,CD5 antigen-like,O43866_CD5L,CD5L__O43866
O43895,XPNPEP2,Xaa-Pro aminopeptidase 2,O43895_XPNPEP2,XPNPEP2__O43895
O43896,KIF1C,Kinesin-like protein KIF1C,O43896_KIF1C,KIF1C__O43896
O43903,GAS2,Growth arrest-specific protein 2,O43903_GAS2,GAS2__O43903
O43909,EXTL3,Exostosin-like 3,O43909_EXTL3,EXTL3__O43909
O43913,ORC5,Origin recognition complex subunit 5,O43913_ORC5,ORC5__O43913
O43920,NDUFS5,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,O43920_NDUFS5,NDUFS5__O43920
O43924,PDE6D,"Retinal rod rhodopsin-sensitive cGMP 3,5-cyclic phosphodiesterase subunit delta",O43924_PDE6D,PDE6D__O43924
O43927,CXCL13,C-X-C motif chemokine 13,O43927_CXCL13,CXCL13__O43927
O43929,ORC4,Origin recognition complex subunit 4,O43929_ORC4,ORC4__O43929
O43933,PEX1,Peroxisome biogenesis factor 1,O43933_PEX1,PEX1__O43933
O60216,RAD21,Double-strand-break repair protein rad21 homolog,O60216_RAD21,RAD21__O60216
O60218,AKR1B10,Aldo-keto reductase family 1 member B10,O60218_AKR1B10,AKR1B10__O60218
O60220,TIMM8A,Mitochondrial import inner membrane translocase subunit Tim8 A,O60220_TIMM8A,TIMM8A__O60220
O60231,DHX16,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,O60231_DHX16,DHX16__O60231
O60232,SSSCA1,Sjoegren syndrome/scleroderma autoantigen 1,O60232_SSSCA1,SSSCA1__O60232
O60234,GMFG,Glia maturation factor gamma,O60234_GMFG,GMFG__O60234
O60238-2,BNIP3L,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like,O60238-2_BNIP3L,BNIP3L__O60238-2
O60240,PLIN1,Perilipin-1,O60240_PLIN1,PLIN1__O60240
O60244,MED14,Mediator of RNA polymerase II transcription subunit 14,O60244_MED14,MED14__O60244
O60245,PCDH7,Protocadherin-7,O60245_PCDH7,PCDH7__O60245
O60256,PRPSAP2,Phosphoribosyl pyrophosphate synthase-associated protein 2,O60256_PRPSAP2,PRPSAP2__O60256
O60262,GNG7,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7,O60262_GNG7,GNG7__O60262
O60264,SMARCA5,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,O60264_SMARCA5,SMARCA5__O60264
O60268-3,KIAA0513,Uncharacterized protein KIAA0513,O60268-3_KIAA0513,KIAA0513__O60268-3
O60271,SPAG9,C-Jun-amino-terminal kinase-interacting protein 4,O60271_SPAG9,SPAG9__O60271
O60279,SUSD5,Sushi domain-containing protein 5,O60279_SUSD5,SUSD5__O60279
O60282,KIF5C,Kinesin heavy chain isoform 5C,O60282_KIF5C,KIF5C__O60282
O60285,NUAK1,NUAK family SNF1-like kinase 1,O60285_NUAK1,NUAK1__O60285
O60287,URB1,Nucleolar pre-ribosomal-associated protein 1,O60287_URB1,URB1__O60287
O60292,SIPA1L3,Signal-induced proliferation-associated 1-like protein 3,O60292_SIPA1L3,SIPA1L3__O60292
O60293-2,ZFC3H1,Zinc finger C3H1 domain-containing protein,O60293-2_ZFC3H1,ZFC3H1__O60293-2
O60294,LCMT2,tRNA wybutosine-synthesizing protein 4,O60294_LCMT2,LCMT2__O60294
O60299,LZTS3,Leucine zipper putative tumor suppressor 3,O60299_LZTS3,LZTS3__O60299
O60303,KIAA0556,Uncharacterized protein KIAA0556,O60303_KIAA0556,KIAA0556__O60303
O60306,AQR,Intron-binding protein aquarius,O60306_AQR,AQR__O60306
O60307,MAST3,Microtubule-associated serine/threonine-protein kinase 3,O60307_MAST3,MAST3__O60307
O60313-2,OPA1,"Dynamin-like 120 kDa protein, mitochondrial",O60313-2_OPA1,OPA1__O60313-2
O60318,MCM3AP,Germinal-center associated nuclear protein,O60318_MCM3AP,MCM3AP__O60318
O60331-4,PIP5K1C,Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma,O60331-4_PIP5K1C,PIP5K1C__O60331-4
O60333-2,KIF1B,Kinesin-like protein KIF1B,O60333-2_KIF1B,KIF1B__O60333-2
O60333-3,KIF1B,Kinesin-like protein KIF1B,O60333-3_KIF1B,KIF1B__O60333-3
O60336-3,MAPKBP1,Mitogen-activated protein kinase-binding protein 1,O60336-3_MAPKBP1,MAPKBP1__O60336-3
O60337,6-Mar,E3 ubiquitin-protein ligase MARCH6,O60337_6-Mar,6-Mar__O60337
O60341,KDM1A,Lysine-specific histone demethylase 1A,O60341_KDM1A,KDM1A__O60341
O60343,TBC1D4,TBC1 domain family member 4,O60343_TBC1D4,TBC1D4__O60343
O60347,TBC1D12,TBC1 domain family member 12,O60347_TBC1D12,TBC1D12__O60347
O60353-2,FZD6,Frizzled-6,O60353-2_FZD6,FZD6__O60353-2
O60427,FADS1,Fatty acid desaturase 1,O60427_FADS1,FADS1__O60427
O60443,DFNA5,Non-syndromic hearing impairment protein 5,O60443_DFNA5,DFNA5__O60443
O60447,EVI5,Ecotropic viral integration site 5 protein homolog,O60447_EVI5,EVI5__O60447
O60449-3,LY75,Lymphocyte antigen 75,O60449-3_LY75,LY75__O60449-3
O60476,MAN1A2,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",O60476_MAN1A2,MAN1A2__O60476
O60486,PLXNC1,Plexin-C1,O60486_PLXNC1,PLXNC1__O60486
O60488-2,ACSL4,Long-chain-fatty-acid--CoA ligase 4,O60488-2_ACSL4,ACSL4__O60488-2
O60493,SNX3,Sorting nexin-3,O60493_SNX3,SNX3__O60493
O60496,DOK2,Docking protein 2,O60496_DOK2,DOK2__O60496
Q5U8S2,STX10,Syntaxin-10,Q5U8S2_STX10,STX10__Q5U8S2
O60502,MGEA5,Protein O-GlcNAcase,O60502_MGEA5,MGEA5__O60502
O60503,ADCY9,Adenylate cyclase type 9,O60503_ADCY9,ADCY9__O60503
O60504,SORBS3,Vinexin,O60504_SORBS3,SORBS3__O60504
O60506,SYNCRIP,Heterogeneous nuclear ribonucleoprotein Q,O60506_SYNCRIP,SYNCRIP__O60506
O60507,TPST1,Protein-tyrosine sulfotransferase 1,O60507_TPST1,TPST1__O60507
O60508,CDC40,Pre-mRNA-processing factor 17,O60508_CDC40,CDC40__O60508
O60512,B4GALT3,"Beta-1,4-galactosyltransferase 3",O60512_B4GALT3,B4GALT3__O60512
O60513,B4GALT4,"Beta-1,4-galactosyltransferase 4",O60513_B4GALT4,B4GALT4__O60513
O60516,EIF4EBP3,Eukaryotic translation initiation factor 4E-binding protein 3,O60516_EIF4EBP3,EIF4EBP3__O60516
O60518,RANBP6,Ran-binding protein 6,O60518_RANBP6,RANBP6__O60518
O60524-4,NEMF,Nuclear export mediator factor NEMF,O60524-4_NEMF,NEMF__O60524-4
O60547,GMDS,"GDP-mannose 4,6 dehydratase",O60547_GMDS,GMDS__O60547
O60551,NMT2,Glycylpeptide N-tetradecanoyltransferase 2,O60551_NMT2,NMT2__O60551
O60563,CCNT1,Cyclin-T1,O60563_CCNT1,CCNT1__O60563
O60565,GREM1,Gremlin-1,O60565_GREM1,GREM1__O60565
O60566,BUB1B,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,O60566_BUB1B,BUB1B__O60566
O60568,PLOD3,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",O60568_PLOD3,PLOD3__O60568
O60573,EIF4E2,Eukaryotic translation initiation factor 4E type 2,O60573_EIF4E2,EIF4E2__O60573
O60583-2,CCNT2,Cyclin-T2,O60583-2_CCNT2,CCNT2__O60583-2
O60603,TLR2,Toll-like receptor 2,O60603_TLR2,TLR2__O60603
O60637-3,TSPAN3,Tetraspanin-3,O60637-3_TSPAN3,TSPAN3__O60637-3
O60645-2,EXOC3,Exocyst complex component 3,O60645-2_EXOC3,EXOC3__O60645-2
O60656,UGT1A9,UDP-glucuronosyltransferase 1-9,O60656_UGT1A9,UGT1A9__O60656
O60658-2,PDE8A,"High affinity cAMP-specific and IBMX-insensitive 3,5-cyclic phosphodiesterase 8A",O60658-2_PDE8A,PDE8A__O60658-2
O60664-4,PLIN3,Perilipin-3,O60664-4_PLIN3,PLIN3__O60664-4
O60664-2,PLIN3,Perilipin-3,O60664-2_PLIN3,PLIN3__O60664-2
O60669,SLC16A7,Monocarboxylate transporter 2,O60669_SLC16A7,SLC16A7__O60669
O60671,RAD1,Cell cycle checkpoint protein RAD1,O60671_RAD1,RAD1__O60671
O60674,JAK2,Tyrosine-protein kinase JAK2,O60674_JAK2,JAK2__O60674
O60675,MAFK,Transcription factor MafK,O60675_MAFK,MAFK__O60675
O60678,PRMT3,Protein arginine N-methyltransferase 3,O60678_PRMT3,PRMT3__O60678
O60684,KPNA6,Importin subunit alpha-7,O60684_KPNA6,KPNA6__O60684
O60687,SRPX2,Sushi repeat-containing protein SRPX2,O60687_SRPX2,SRPX2__O60687
O60701,UGDH,UDP-glucose 6-dehydrogenase,O60701_UGDH,UGDH__O60701
O60704,TPST2,Protein-tyrosine sulfotransferase 2,O60704_TPST2,TPST2__O60704
O60706-2,ABCC9,ATP-binding cassette sub-family C member 9,O60706-2_ABCC9,ABCC9__O60706-2
O60711,LPXN,Leupaxin,O60711_LPXN,LPXN__O60711
O60716-29,CTNND1,Catenin delta-1,O60716-29_CTNND1,CTNND1__O60716-29
O60716-5,CTNND1,Catenin delta-1,O60716-5_CTNND1,CTNND1__O60716-5
O60725,ICMT,Protein-S-isoprenylcysteine O-methyltransferase,O60725_ICMT,ICMT__O60725
O60739,EIF1B,Eukaryotic translation initiation factor 1b,O60739_EIF1B,EIF1B__O60739
O60749,SNX2,Sorting nexin-2,O60749_SNX2,SNX2__O60749
Q5QPK2,DPM1,Dolichol-phosphate mannosyltransferase subunit 1,Q5QPK2_DPM1,DPM1__Q5QPK2
O60763,USO1,General vesicular transport factor p115,O60763_USO1,USO1__O60763
O60763-2,USO1,General vesicular transport factor p115,O60763-2_USO1,USO1__O60763-2
O60779,SLC19A2,Thiamine transporter 1,O60779_SLC19A2,SLC19A2__O60779
O60783,MRPS14,"28S ribosomal protein S14, mitochondrial",O60783_MRPS14,MRPS14__O60783
O60784,TOM1,Target of Myb protein 1,O60784_TOM1,TOM1__O60784
O60825-2,PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",O60825-2_PFKFB2,PFKFB2__O60825-2
O60826,CCDC22,Coiled-coil domain-containing protein 22,O60826_CCDC22,CCDC22__O60826
O60828-5,PQBP1,Polyglutamine-binding protein 1,O60828-5_PQBP1,PQBP1__O60828-5
V9GYS0,TIMM17B,Mitochondrial import inner membrane translocase subunit Tim17-B,V9GYS0_TIMM17B,TIMM17B__V9GYS0
O60831,PRAF2,PRA1 family protein 2,O60831_PRAF2,PRAF2__O60831
O60832,DKC1,H/ACA ribonucleoprotein complex subunit 4,O60832_DKC1,DKC1__O60832
O60858,TRIM13,E3 ubiquitin-protein ligase TRIM13,O60858_TRIM13,TRIM13__O60858
O60861-1,GAS7,Growth arrest-specific protein 7,O60861-1_GAS7,GAS7__O60861-1
O60869-2,EDF1,Endothelial differentiation-related factor 1,O60869-2_EDF1,EDF1__O60869-2
O60870,KIN,DNA/RNA-binding protein KIN17,O60870_KIN,KIN__O60870
O60880,SH2D1A,SH2 domain-containing protein 1A,O60880_SH2D1A,SH2D1A__O60880
O60884,DNAJA2,DnaJ homolog subfamily A member 2,O60884_DNAJA2,DNAJA2__O60884
O60885,BRD4,Bromodomain-containing protein 4,O60885_BRD4,BRD4__O60885
O60888-3,CUTA,Protein CutA,O60888-3_CUTA,CUTA__O60888-3
O60890,OPHN1,Oligophrenin-1,O60890_OPHN1,OPHN1__O60890
O60906,SMPD2,Sphingomyelin phosphodiesterase 2,O60906_SMPD2,SMPD2__O60906
O60907,TBL1X,F-box-like/WD repeat-containing protein TBL1X,O60907_TBL1X,TBL1X__O60907
O60921,HUS1,Checkpoint protein HUS1,O60921_HUS1,HUS1__O60921
O60925,PFDN1,Prefoldin subunit 1,O60925_PFDN1,PFDN1__O60925
O60927,PPP1R11,Protein phosphatase 1 regulatory subunit 11,O60927_PPP1R11,PPP1R11__O60927
O60930,RNASEH1,Ribonuclease H1,O60930_RNASEH1,RNASEH1__O60930
O60934,NBN,Nibrin,O60934_NBN,NBN__O60934
O60942,RNGTT,mRNA-capping enzyme,O60942_RNGTT,RNGTT__O60942
O75023,LILRB5,Leukocyte immunoglobulin-like receptor subfamily B member 5,O75023_LILRB5,LILRB5__O75023
O75027,ABCB7,"ATP-binding cassette sub-family B member 7, mitochondrial",O75027_ABCB7,ABCB7__O75027
O75037-3,KIF21B,Kinesin-like protein KIF21B,O75037-3_KIF21B,KIF21B__O75037-3
O75051,PLXNA2,Plexin-A2,O75051_PLXNA2,PLXNA2__O75051
O75052-3,NOS1AP,Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein,O75052-3_NOS1AP,NOS1AP__O75052-3
O75061-4,DNAJC6,Putative tyrosine-protein phosphatase auxilin,O75061-4_DNAJC6,DNAJC6__O75061-4
O75063,FAM20B,Glycosaminoglycan xylosylkinase,O75063_FAM20B,FAM20B__O75063
O75064,DENND4B,DENN domain-containing protein 4B,O75064_DENND4B,DENND4B__O75064
O75071,EFCAB14,EF-hand calcium-binding domain-containing protein 14,O75071_EFCAB14,EFCAB14__O75071
O75072-2,FKTN,Fukutin,O75072-2_FKTN,FKTN__O75072-2
O75083,WDR1,WD repeat-containing protein 1,O75083_WDR1,WDR1__O75083
O75086,mifr-2,,O75086_mifr-2,mifr-2__O75086
O75094,SLIT3,Slit homolog 3 protein,O75094_SLIT3,SLIT3__O75094
O75095-2,MEGF6,Multiple epidermal growth factor-like domains protein 6,O75095-2_MEGF6,MEGF6__O75095-2
O75110,ATP9A,Probable phospholipid-transporting ATPase IIA,O75110_ATP9A,ATP9A__O75110
O75112-2,LDB3,LIM domain-binding protein 3,O75112-2_LDB3,LDB3__O75112-2
O75112-7,LDB3,LIM domain-binding protein 3,O75112-7_LDB3,LDB3__O75112-7
O75113,N4BP1,NEDD4-binding protein 1,O75113_N4BP1,N4BP1__O75113
O75116,ROCK2,Rho-associated protein kinase 2,O75116_ROCK2,ROCK2__O75116
O75128-2,COBL,Protein cordon-bleu,O75128-2_COBL,COBL__O75128-2
O75131,CPNE3,Copine-3,O75131_CPNE3,CPNE3__O75131
O75140-8,DEPDC5,DEP domain-containing protein 5,O75140-8_DEPDC5,DEPDC5__O75140-8
O75143-2,ATG13,Autophagy-related protein 13,O75143-2_ATG13,ATG13__O75143-2
O75146,HIP1R,Huntingtin-interacting protein 1-related protein,O75146_HIP1R,HIP1R__O75146
O75150,RNF40,E3 ubiquitin-protein ligase BRE1B,O75150_RNF40,RNF40__O75150
O75151,PHF2,Lysine-specific demethylase PHF2,O75151_PHF2,PHF2__O75151
O75152,ZC3H11A,Zinc finger CCCH domain-containing protein 11A,O75152_ZC3H11A,ZC3H11A__O75152
O75153,CLUH,Clustered mitochondria protein homolog,O75153_CLUH,CLUH__O75153
O75155-2,CAND2,Cullin-associated NEDD8-dissociated protein 2,O75155-2_CAND2,CAND2__O75155-2
O75157-2,TSC22D2,TSC22 domain family protein 2,O75157-2_TSC22D2,TSC22D2__O75157-2
O75165,DNAJC13,DnaJ homolog subfamily C member 13,O75165_DNAJC13,DNAJC13__O75165
O75170-2,PPP6R2,Serine/threonine-protein phosphatase 6 regulatory subunit 2,O75170-2_PPP6R2,PPP6R2__O75170-2
O75170-3,PPP6R2,Serine/threonine-protein phosphatase 6 regulatory subunit 2,O75170-3_PPP6R2,PPP6R2__O75170-3
O75173,ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4,O75173_ADAMTS4,ADAMTS4__O75173
O75175,CNOT3,CCR4-NOT transcription complex subunit 3,O75175_CNOT3,CNOT3__O75175
O75177,SS18L1,Calcium-responsive transactivator,O75177_SS18L1,SS18L1__O75177
O75179-2,ANKRD17,Ankyrin repeat domain-containing protein 17,O75179-2_ANKRD17,ANKRD17__O75179-2
O75182-2,SIN3B,Paired amphipathic helix protein Sin3b,O75182-2_SIN3B,SIN3B__O75182-2
O75190,DNAJB6,DnaJ homolog subfamily B member 6,O75190_DNAJB6,DNAJB6__O75190
O75191,XYLB,Xylulose kinase,O75191_XYLB,XYLB__O75191
O75192,PEX11A,Peroxisomal membrane protein 11A,O75192_PEX11A,PEX11A__O75192
O75204,TMEM127,Transmembrane protein 127,O75204_TMEM127,TMEM127__O75204
O75208,COQ9,"Ubiquinone biosynthesis protein COQ9, mitochondrial",O75208_COQ9,COQ9__O75208
O75223,GGCT,Gamma-glutamylcyclotransferase,O75223_GGCT,GGCT__O75223
O75251,NDUFS7,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",O75251_NDUFS7,NDUFS7__O75251
O75264,SMIM24,Small integral membrane protein 24,O75264_SMIM24,SMIM24__O75264
O75306,NDUFS2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",O75306_NDUFS2,NDUFS2__O75306
O75310,UGT2B11,UDP-glucuronosyltransferase 2B11,O75310_UGT2B11,UGT2B11__O75310
O75312,ZPR1,Zinc finger protein ZPR1,O75312_ZPR1,ZPR1__O75312
O75317,USP12,Ubiquitin carboxyl-terminal hydrolase 12,O75317_USP12,USP12__O75317
O75319,DUSP11,RNA/RNP complex-1-interacting phosphatase,O75319_DUSP11,DUSP11__O75319
O75323,GBAS,Protein NipSnap homolog 2,O75323_GBAS,GBAS__O75323
O75326,SEMA7A,Semaphorin-7A,O75326_SEMA7A,SEMA7A__O75326
O75330-2,HMMR,Hyaluronan mediated motility receptor,O75330-2_HMMR,HMMR__O75330-2
O75339,CILP,Cartilage intermediate layer protein 1,O75339_CILP,CILP__O75339
O75340,PDCD6,Programmed cell death protein 6,O75340_PDCD6,PDCD6__O75340
