Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
DDX17,P72,ENSG00000100201,DEAD-box helicase 17,22,38483440-38507660,"Enzymes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB024908, HPA063142",Enhanced,,Enhanced,Nuclear speckles,Lung cancer:6.06e-4 (favourable),Expressed in all,Expressed in all,,,parathyroid gland: 336.0,Expressed in all,,
DDX18,MrDb,ENSG00000088205,DEAD-box helicase 18,2,117814650-117832379,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA035400, HPA041056",Approved,,Enhanced,Nucleoli,"Endometrial cancer:2.64e-4 (unfavourable), Liver cancer:3.07e-4 (unfavourable)",Expressed in all,Expressed in all,,,thyroid gland: 49.6,Expressed in all,,
DDX19A,"DDX19L, FLJ11126",ENSG00000168872,DEAD-box helicase 19A,16,70346829-70373383,"Enzymes, Predicted intracellular proteins, Transporters",Evidence at protein level,"HPA045252, HPA066668",Approved,,Uncertain,Nucleoplasm,"Liver cancer:8.05e-5 (unfavourable), Head and neck cancer:2.38e-4 (unfavourable)",Expressed in all,Expressed in all,,,parathyroid gland: 51.3,Expressed in all,,
DDX19B,"DBP5, DDX19",ENSG00000157349,DEAD-box helicase 19B,16,70289663-70335283,"Enzymes, Plasma proteins, Predicted intracellular proteins, Transporters",Evidence at protein level,"CAB037229, CAB037284, HPA046380, HPA066668",Approved,,Uncertain,Nucleoplasm,,Expressed in all,Expressed in all,,,testis: 82.8,Mixed,,
DDX20,"DP103, GEMIN3",ENSG00000064703,DEAD-box helicase 20,1,111755245-111768016,"Enzymes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA005516, CAB015427",Enhanced,,Supported,Nucleoplasm<br>Nuclear bodies<br>Cytosol,"Liver cancer:6.35e-6 (unfavourable), Colorectal cancer:9.85e-5 (favourable)",Expressed in all,Tissue enriched,10,testis: 130.7,parathyroid gland: 12.6,Expressed in all,,
DDX21,"GURDB, RH-II/GU",ENSG00000165732,DExD-box helicase 21,10,68956128-68985073,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA036592, HPA036593",Enhanced,,Enhanced,Nucleus<br>Nucleoli,Pancreatic cancer:3.12e-4 (unfavourable),Expressed in all,Expressed in all,,,appendix: 71.2,Expressed in all,,
DDX23,"prp28, PRPF28, SNRNP100, U5-100K",ENSG00000174243,DEAD-box helicase 23,12,48829764-48852842,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA038680, HPA039037",Approved,,Supported,Nucleus<br>Nucleoli,Liver cancer:3.03e-5 (unfavourable),Expressed in all,Expressed in all,,,parathyroid gland: 58.2,Expressed in all,,
DDX24,,ENSG00000089737,DEAD-box helicase 24,14,94048291-94081245,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA002554,Uncertain,,Approved,Nucleoli<br>Cytosol,"Renal cancer:3.06e-9 (favourable), Stomach cancer:2.89e-4 (unfavourable)",Expressed in all,Tissue enhanced,,epididymis: 45.3,testis: 26.5,Mixed,,
DDX25,GRTH,ENSG00000109832,DEAD-box helicase 25,11,125903348-125943702,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA020137,Enhanced,,,,,Tissue enhanced,Group enriched,12,cerebral cortex: 34.6;testis: 163.8,thyroid gland: 8.0,Cell line enhanced,,NTERA-2: 10.8;SCLC-21H: 10.2
DDX27,"dJ686N3.1, DRS1",ENSG00000124228,DEAD-box helicase 27,20,49219295-49244077,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA047087,Uncertain,,Approved,Nucleoli,"Liver cancer:6.70e-7 (unfavourable), Endometrial cancer:1.44e-5 (unfavourable), Renal cancer:1.73e-4 (unfavourable)",Expressed in all,Expressed in all,,,testis: 46.2,Expressed in all,,
DDX28,"FLJ11282, MDDX28",ENSG00000182810,DEAD-box helicase 28,16,68021274-68023442,"Enzymes, Predicted secreted proteins",Evidence at protein level,"HPA041911, HPA053585",Approved,,Supported,Nucleoli<br>Mitochondria<br>Cytosol,Renal cancer:2.07e-10 (favourable),Expressed in all,Expressed in all,,,bone marrow: 11.2,Expressed in all,,
DDX31,"FLJ13633, FLJ14578, FLJ23349, PPP1R25",ENSG00000125485,DEAD-box helicase 31,9,132592997-132670401,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA020891,,,Supported,Nucleoli<br>Golgi apparatus<br>Vesicles,Liver cancer:1.68e-7 (unfavourable),Expressed in all,Expressed in all,,,thyroid gland: 23.0,Expressed in all,,
DDX39A,"BAT1L, DDX39, DDXL, URH49",ENSG00000123136,DExD-box helicase 39A,19,14408819-14419383,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA055334,Approved,,Approved,Nuclear speckles,"Renal cancer:1.50e-10 (unfavourable), Cervical cancer:6.86e-4 (favourable)",Expressed in all,Expressed in all,,,testis: 209.7,Expressed in all,,
DDX39B,"BAT1, D6S81E, UAP56",ENSG00000198563,DExD-box helicase 39B,6,31530219-31542448,"Enzymes, Plasma proteins, Predicted intracellular proteins, Transporters",Evidence at protein level,"CAB034012, HPA055334, HPA058450",Enhanced,,Enhanced,Nuclear speckles,"Renal cancer:1.11e-6 (unfavourable), Urothelial cancer:1.43e-5 (favourable)",Expressed in all,Expressed in all,,,epididymis: 45.0,Expressed in all,,
DDX3X,"DBX, DDX14, DDX3, HLP2",ENSG00000215301,"DEAD-box helicase 3, X-linked",X,41333348-41364472,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters",Evidence at protein level,"HPA001648, HPA005631, HPA059585",Supported,Approved,Approved,Nucleus<br>Cytosol,,Expressed in all,Expressed in all,,,parathyroid gland: 274.6,Expressed in all,,
DDX3Y,DBY,ENSG00000067048,"DEAD-box helicase 3, Y-linked",Y,12904108-12920478,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA001648, HPA005631",Uncertain,Approved,Supported,Nucleus<br>Cytosol,Head and neck cancer:4.70e-5 (favourable),Mixed,Tissue enhanced,,testis: 128.6,prostate: 54.0,Cell line enhanced,,HEL: 139.0
DDX4,VASA,ENSG00000152670,DEAD-box helicase 4,5,55738017-55817157,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"CAB026170, HPA037763, HPA037764",Enhanced,,,,,Tissue enriched,Tissue enriched,526,testis: 270.5,tonsil: 0.5,Cell line enhanced,,BEWO: 1.8
DDX41,"ABS, MGC8828",ENSG00000183258,DEAD-box helicase 41,5,177511577-177517469,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA017911, HPA048803",Enhanced,,Supported,Nucleus,Renal cancer:2.21e-6 (unfavourable),Expressed in all,Expressed in all,,,cerebral cortex: 52.6,Expressed in all,,
DDX42,"RHELP, RNAHP, SF3b125, SF3B8",ENSG00000198231,DEAD-box helicase 42,17,63773603-63819317,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA023447, HPA023571, HPA025941",Enhanced,,Enhanced,Nuclear speckles,"Liver cancer:2.84e-4 (unfavourable), Renal cancer:9.26e-4 (unfavourable)",Expressed in all,Expressed in all,,,parathyroid gland: 75.1,Expressed in all,,
DDX43,"CT13, DKFZp434H2114, HAGE",ENSG00000080007,DEAD-box helicase 43,6,73394748-73417569,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA031381,Enhanced,,,,,Tissue enriched,Tissue enriched,5,testis: 34.6,placenta: 6.8,Cell line enhanced,,BEWO: 7.5;CAPAN-2: 11.7;HHSteC: 3.0;U-2 OS: 8.7
DDX46,"FLJ25329, KIAA0801, Prp5, PRPF5",ENSG00000145833,DEAD-box helicase 46,5,134758771-134855133,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA036554, HPA057501",Supported,,Enhanced,Nuclear speckles,Colorectal cancer:9.01e-6 (favourable),Expressed in all,Expressed in all,,,parathyroid gland: 36.4,Expressed in all,,
DDX47,"DKFZp564O176, FLJ30012, HQ0256, RRP3",ENSG00000213782,DEAD-box helicase 47,12,12813316-12829981,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA014855,Approved,,Enhanced,Nucleoli,,Mixed,Expressed in all,,,thyroid gland: 55.8,Expressed in all,,
DDX49,FLJ10432,ENSG00000105671,DEAD-box helicase 49,19,18919675-18928633,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA041870, HPA048093",Enhanced,,Approved,Nucleoli<br>Mitochondria,"Cervical cancer:2.01e-6 (favourable), Renal cancer:7.44e-5 (unfavourable), Liver cancer:7.05e-4 (unfavourable)",Expressed in all,Expressed in all,,,testis: 24.3,Expressed in all,,
DDX5,"G17P1, HLR1, p68",ENSG00000108654,DEAD-box helicase 5,17,64499616-64508199,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB005868, HPA020043",Supported,,Enhanced,Nucleoplasm,Colorectal cancer:2.12e-4 (favourable),Expressed in all,Expressed in all,,,smooth muscle: 599.5,Expressed in all,,
DDX50,"GU2, GUB, MGC3199, RH-II/GuB",ENSG00000107625,DExD-box helicase 50,10,68901278-68946847,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA037388, HPA037389, HPA058196",Approved,,Enhanced,Nucleoli,,Expressed in all,Expressed in all,,,testis: 47.0,Expressed in all,,
DDX51,,ENSG00000185163,DEAD-box helicase 51,12,132136594-132144335,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA039503,Uncertain,,Approved,Nucleus<br>Nucleoli<br>Cytosol,Liver cancer:4.73e-4 (unfavourable),Expressed in all,Expressed in all,,,cerebral cortex: 11.4,Expressed in all,,
DDX52,ROK1,ENSG00000278053,DExD-box helicase 52,17,37609739-37643464,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA056173,Uncertain,,Supported,Nucleus<br>Nucleoli,"Liver cancer:2.44e-6 (unfavourable), Colorectal cancer:9.41e-4 (favourable)",Expressed in all,Mixed,,,epididymis: 4.6,Mixed,,
DDX53,"CAGE, CT26",ENSG00000184735,DEAD-box helicase 53,X,22999961-23003589,"Enzymes, Predicted intracellular proteins",Evidence at protein level,,,,,,,Tissue enhanced,Tissue enriched,100,testis: 10.0,all non-specific tissues: 0.0,Cell line enhanced,,K-562: 4.1;RPMI-8226: 1.6;U-2197: 1.3;U-266/84: 7.3
DDX54,"APR-5, DP97, MGC2835",ENSG00000123064,DEAD-box helicase 54,12,113157174-113185479,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA028244, HPA070786",Approved,,Approved,Nucleus<br>Nucleoli<br>Golgi apparatus,Liver cancer:1.39e-4 (unfavourable),Expressed in all,Expressed in all,,,appendix: 38.8,Expressed in all,,
DDX55,KIAA1595,ENSG00000111364,DEAD-box helicase 55,12,123602077-123620941,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA039962, HPA044101",Approved,,Supported,Nucleus<br>Nucleoli<br>Cytosol,"Renal cancer:8.97e-12 (unfavourable), Liver cancer:2.11e-9 (unfavourable)",Expressed in all,Expressed in all,,,skin: 16.4,Expressed in all,,
DDX56,NOH61,ENSG00000136271,DEAD-box helicase 56,7,44565417-44575051,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA019749, CAB037320",Uncertain,,,,"Renal cancer:8.41e-7 (unfavourable), Liver cancer:1.38e-5 (unfavourable)",Expressed in all,Expressed in all,,,"parathyroid gland,skin: 5.6",Expressed in all,,
DDX58,"DKFZp434J1111, FLJ13599, RIG-I",ENSG00000107201,DExD/H-box helicase 58,9,32455705-32526324,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB012643, HPA047193",Uncertain,,Supported,Cytosol,"Renal cancer:4.66e-4 (unfavourable), Endometrial cancer:5.46e-4 (unfavourable)",Expressed in all,Expressed in all,,,spleen: 19.8,Group enriched,6,BJ hTERT+ SV40 Large T+: 118.2;BJ hTERT+ SV40 Large T+ RasG12V: 128.1
DDX59,"DKFZP564B1023, ZNHIT5",ENSG00000118197,DEAD-box helicase 59,1,200623896-200669969,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA047166,Approved,,Approved,Nucleus<br>Actin filaments,Renal cancer:9.02e-4 (unfavourable),Expressed in all,Expressed in all,,,breast: 33.4,Expressed in all,,
DDX6,"HLR2, RCK",ENSG00000110367,DEAD-box helicase 6,11,118747766-118791149,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB004668, HPA024201, HPA026644",Approved,,Supported,Cytosol<br>Cytoplasmic bodies,Liver cancer:6.56e-4 (unfavourable),Expressed in all,Expressed in all,,,parathyroid gland: 65.6,Expressed in all,,
DDX60,FLJ20035,ENSG00000137628,DExD/H-box helicase 60,4,168216293-168318807,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA046952,Approved,,Supported,Intermediate filaments<br>Cytosol,Pancreatic cancer:3.35e-4 (unfavourable),Expressed in all,Mixed,,,stomach: 45.7,Cell line enhanced,,BJ hTERT+ SV40 Large T+: 35.0;BJ hTERT+ SV40 Large T+ RasG12V: 35.2
DDX60L,FLJ31033,ENSG00000181381,DEAD-box helicase 60-like,4,168356735-168537786,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA043211, HPA055501",Approved,,Approved,Plasma membrane<br>Cytosol,"Pancreatic cancer:3.04e-5 (unfavourable), Renal cancer:2.94e-4 (unfavourable)",Expressed in all,Mixed,,,bone marrow: 33.7,Mixed,,
DECR1,"DECR, SDR18C1",ENSG00000104325,"2,4-dienoyl-CoA reductase 1",8,90001405-90052092,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA023160, HPA023162, HPA023238",Enhanced,,Supported,Mitochondria<br>Cytosol,"Renal cancer:1.79e-7 (favourable), Breast cancer:1.49e-4 (unfavourable), Urothelial cancer:6.06e-4 (favourable)",Expressed in all,Expressed in all,,,liver: 262.9,Expressed in all,,
DECR2,"PDCR, SDR17C1",ENSG00000242612,"2,4-dienoyl-CoA reductase 2",16,401826-412487,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA047631,,,Approved,Peroxisomes,,Expressed in all,Mixed,,,duodenum: 10.5,Mixed,,
DEGS1,"DEGS-1, Des-1, DES1, FADS7, MLD",ENSG00000143753,"Delta 4-desaturase, sphingolipid 1",1,224175756-224193441,"Enzymes, Predicted membrane proteins",Evidence at protein level,HPA076422,,,Supported,Mitochondria,"Renal cancer:6.83e-7 (unfavourable), Liver cancer:4.29e-5 (unfavourable), Endometrial cancer:7.74e-5 (unfavourable), Urothelial cancer:2.53e-4 (unfavourable)",Expressed in all,Expressed in all,,,skin: 616.3,Expressed in all,,
DEGS2,"C14orf66, DES2, FADS8",ENSG00000168350,"Delta 4-desaturase, sphingolipid 2",14,100143957-100160163,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA046644,,,Approved,Nucleus<br>Nucleoli,"Renal cancer:7.94e-7 (favourable), Urothelial cancer:1.66e-4 (favourable)",Mixed,Tissue enhanced,,skin: 31.4;small intestine: 38.7,duodenum: 24.8,Cell line enriched,16,T-47d: 98.2
DERA,"CGI-26, DEOC",ENSG00000023697,Deoxyribose-phosphate aldolase,12,15911172-16037282,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA055897,,,Supported,Nucleus,"Thyroid cancer:3.64e-5 (favourable), Pancreatic cancer:1.32e-4 (unfavourable)",Expressed in all,Expressed in all,,,kidney: 74.7,Expressed in all,,
DGAT1,"ARGP1, DGAT",ENSG00000185000,Diacylglycerol O-acyltransferase 1,8,144314584-144326910,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins",Evidence at protein level,CAB032853,Enhanced,,Approved,Nucleoli<br>Endoplasmic reticulum,,Expressed in all,Tissue enhanced,,duodenum: 71.3;small intestine: 75.1,adipose tissue: 20.0,Cell line enhanced,,PC-3: 35.6
DGAT2,,ENSG00000062282,Diacylglycerol O-acyltransferase 2,11,75759512-75801535,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,,,,,,Endometrial cancer:2.84e-4 (unfavourable),Tissue enhanced,Tissue enhanced,,adipose tissue: 493.2;liver: 170.9,skin: 116.1,Cell line enhanced,,ASC diff: 55.2;HDLM-2: 57.8
DGKA,"DAGK, DAGK1, DGK-alpha",ENSG00000065357,Diacylglycerol kinase alpha,12,55927319-55954027,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA041645, HPA045462",Approved,,Approved,Nucleoplasm<br>Vesicles<br>Mitochondria,Renal cancer:1.66e-5 (unfavourable),Expressed in all,Mixed,,,skin: 97.4,Cell line enhanced,,HBEC3-KT: 93.1;hTERT-HME1: 102.8
DGKB,"DAGK2, DGK, DGK-BETA, KIAA0718",ENSG00000136267,Diacylglycerol kinase beta,7,14145049-14974777,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA020321,,Supported,,,,Tissue enriched,Tissue enriched,6,cerebral cortex: 34.2,endometrium: 5.6,Cell line enhanced,,AF22: 1.2;fHDF/TERT166: 2.0;SCLC-21H: 1.5;U-266/70: 2.5
DGKD,"DGKdelta, KIAA0145",ENSG00000077044,Diacylglycerol kinase delta,2,233354507-233472104,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA027530, HPA049101",Approved,,Supported,Cytosol,"Renal cancer:4.07e-8 (unfavourable), Liver cancer:1.69e-5 (unfavourable)",Expressed in all,Mixed,,,testis: 20.8,Expressed in all,,
DGKE,"DAGK6, DGK",ENSG00000153933,Diacylglycerol kinase epsilon,17,56834099-56869567,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA017167,Approved,,Approved,Nucleus<br>Cytosol,Endometrial cancer:3.92e-5 (favourable),Mixed,Mixed,,,testis: 12.1,Cell line enhanced,,Karpas-707: 61.4
DGKG,DAGK3,ENSG00000058866,Diacylglycerol kinase gamma,3,186105668-186362237,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA036577,Approved,,Approved,Vesicles<br>Plasma membrane,,Tissue enhanced,Tissue enhanced,,cerebral cortex: 21.4,placenta: 11.3,Cell line enhanced,,HDLM-2: 22.1;U-87 MG: 13.9
DGKH,DGKeta,ENSG00000102780,Diacylglycerol kinase eta,13,42040036-42256578,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA039533, HPA040355",Uncertain,,,,,Mixed,Mixed,,,epididymis: 8.4,Mixed,,
DGKI,DGK-IOTA,ENSG00000157680,Diacylglycerol kinase iota,7,137381037-137847092,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA021924,,,Approved,Nucleoplasm,,Mixed,Group enriched,11,cerebral cortex: 9.3;thyroid gland: 33.0,"heart muscle,smooth muscle: 1.8",Cell line enhanced,,SCLC-21H: 7.5;U-2197: 16.4;U-87 MG: 6.3
DGKK,,ENSG00000274588,Diacylglycerol kinase kappa,X,50365409-50470738,"Enzymes, Predicted intracellular proteins",Evidence at protein level,,,,,,,Not detected,Tissue enriched,7,adrenal gland: 4.5,cerebral cortex: 0.6,Cell line enriched,14,Hep G2: 23.8
DGKQ,"DAGK, DAGK4, DAGK7",ENSG00000145214,Diacylglycerol kinase theta,4,958887-986895,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA026797, CAB033835",Uncertain,,,,,Expressed in all,Expressed in all,,,small intestine: 26.0,Mixed,,
DGKZ,"DAGK5, DAGK6, DGK-ZETA, hDGKzeta",ENSG00000149091,Diacylglycerol kinase zeta,11,46332905-46380554,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA051336,Supported,,Supported,Nuclear speckles,Renal cancer:4.74e-5 (unfavourable),Expressed in all,Expressed in all,,,cerebral cortex: 132.6,Expressed in all,,
DGUOK,dGK,ENSG00000114956,Deoxyguanosine kinase,2,73926826-73958961,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA034766, HPA057246",Approved,,,,"Renal cancer:8.69e-7 (unfavourable), Urothelial cancer:7.47e-4 (favourable)",Expressed in all,Expressed in all,,,testis: 56.6,Expressed in all,,
DHCR24,"DCE, KIAA0018, seladin-1",ENSG00000116133,24-dehydrocholesterol reductase,1,54849633-54887218,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA017981, CAB037247, HPA063005",Approved,,,,Endometrial cancer:1.05e-5 (unfavourable),Expressed in all,Expressed in all,,,adrenal gland: 1094.6,Mixed,,
DHCR7,SLOS,ENSG00000172893,7-dehydrocholesterol reductase,11,71428193-71452868,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins",Evidence at protein level,HPA044280,Approved,,Supported,Endoplasmic reticulum<br>Cytosol,"Renal cancer:6.93e-7 (favourable), Urothelial cancer:5.67e-4 (unfavourable)",Expressed in all,Expressed in all,,,adrenal gland: 115.2,Expressed in all,,
DHDDS,"DS, FLJ13102, HDS, RP59",ENSG00000117682,Dehydrodolichyl diphosphate synthase subunit,1,26432282-26471294,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA026721, HPA026727",Uncertain,,Uncertain,Plasma membrane,Renal cancer:4.08e-7 (favourable),Expressed in all,Expressed in all,,,adipose tissue: 54.5,Expressed in all,,
DHDH,HUM2DD,ENSG00000104808,Dihydrodiol dehydrogenase,19,48933682-48944969,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA044131,Approved,,Approved,Nucleoplasm<br>Actin filaments,"Renal cancer:3.15e-4 (favourable), Endometrial cancer:9.91e-4 (unfavourable)",Expressed in all,Group enriched,5,duodenum: 10.2;kidney: 17.8;prostate: 5.1;small intestine: 18.6,testis: 2.5,Cell line enhanced,,SCLC-21H: 2.5
DHFR,,ENSG00000228716,Dihydrofolate reductase,5,80626228-80654983,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB037129, HPA051465",Uncertain,,Supported,Mitochondria,,Expressed in all,Mixed,,,lymph node: 49.6,Expressed in all,,
DHFR2,"DHFRL1, DHFRP4, FLJ16119",ENSG00000178700,Dihydrofolate reductase 2,3,94047836-94063389,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA051465,Uncertain,,Supported,Mitochondria,Renal cancer:2.30e-6 (favourable),Expressed in all,Mixed,,,parathyroid gland: 16.2,Mixed,,
DHODH,,ENSG00000102967,Dihydroorotate dehydrogenase (quinone),16,72008588-72027664,"Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA010123, HPA011942",Approved,,Supported,Nucleoplasm<br>Mitochondria,,Expressed in all,Mixed,,,liver: 21.4,Expressed in all,,
DHPS,MIG13,ENSG00000095059,Deoxyhypusine synthase,19,12675717-12681902,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA014461, HPA029413",Approved,,Approved,Nucleoplasm<br>Plasma membrane<br>Cytosol,,Expressed in all,Expressed in all,,,fallopian tube: 64.5,Expressed in all,,
DHRS3,"RDH17, retSDR1, Rsdr1, SDR1, SDR16C1",ENSG00000162496,Dehydrogenase/reductase 3,1,12567910-12617731,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA010844,Supported,,Approved,Nucleoli<br>Mitochondria,Thyroid cancer:2.65e-4 (favourable),Expressed in all,Expressed in all,,,adipose tissue: 99.9,Cell line enhanced,,CAPAN-2: 219.3;WM-115: 228.2
DHRS4,"FLJ11008, humNRDR, SCAD-SRL, SDR-SRL, SDR25C2",ENSG00000157326,Dehydrogenase/reductase 4,14,23953586-23969279,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA023972,Uncertain,,Approved,Nuclear membrane<br>Vesicles,Renal cancer:4.55e-6 (favourable),Expressed in all,Expressed in all,,,kidney: 149.0,Mixed,,
DHTKD1,"CMT2Q, DKFZP762M115, KIAA1630, MGC3090",ENSG00000181192,Dehydrogenase E1 and transketolase domain containing 1,10,12068972-12123225,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA037949, HPA037950, HPA066098",Approved,,Supported,Mitochondria,Renal cancer:3.43e-4 (favourable),Expressed in all,Expressed in all,,,liver: 66.5,Expressed in all,,
DHX15,"DBP1, DDX15, HRH2, PRP43, PRPF43, PrPp43p",ENSG00000109606,DEAH-box helicase 15,4,24517441-24584550,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA047047,Approved,,Enhanced,Nuclear speckles,Colorectal cancer:5.74e-4 (favourable),Expressed in all,Expressed in all,,,parathyroid gland: 102.7,Expressed in all,,
DHX16,"DBP2, DDX16, Prp2, PRPF2",ENSG00000204560,DEAH-box helicase 16,6,30653119-30673037,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA051455,Enhanced,,Supported,Nucleoplasm,,Expressed in all,Mixed,,,testis: 11.5,Expressed in all,,
DHX29,DDX29,ENSG00000067248,DExH-box helicase 29,5,55256245-55307722,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA038317, HPA038318",Approved,,Approved,Cytosol,,Expressed in all,Expressed in all,,,parathyroid gland: 39.2,Expressed in all,,
DHX30,"DDX30, FLJ11214, KIAA0890",ENSG00000132153,DExH-box helicase 30,3,47802909-47850195,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA034806,Supported,,Supported,Mitochondria<br>Cytosol,Renal cancer:1.37e-6 (favourable),Expressed in all,Expressed in all,,,testis: 46.2,Expressed in all,,
DHX32,"DDX32, DHLP1, FLJ10694, FLJ10889",ENSG00000089876,DEAH-box helicase 32 (putative),10,125836337-125896436,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA048872,Approved,,,,"Pancreatic cancer:9.49e-5 (unfavourable), Prostate cancer:6.34e-4 (unfavourable)",Expressed in all,Expressed in all,,,testis: 59.8,Mixed,,
DHX33,"DDX33, DKFZp762F2011, FLJ21972",ENSG00000005100,DEAH-box helicase 33,17,5440912-5469060,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA073875,,,Supported,Nucleoli,Prostate cancer:6.10e-4 (unfavourable),Expressed in all,Expressed in all,,,parathyroid gland: 13.6,Expressed in all,,
DHX34,"DDX34, KIAA0134",ENSG00000134815,DExH-box helicase 34,19,47349281-47382704,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA042159, HPA043558",Uncertain,,Uncertain,Nucleus<br>Intermediate filaments,"Renal cancer:3.16e-6 (unfavourable), Liver cancer:8.63e-6 (unfavourable)",Expressed in all,Mixed,,,testis: 20.8,Expressed in all,,
